"Year__c","PropCap","TotResrnSyrf","foreignCurLoan","FromOthers","DeferredTax","GrossBlock","Depreciation","CapWorkProgram","TotLongTermInvest","TotalTradeInvest","TotalInventries","SyndryDebtors","TotalCashOrBankBal","OtherCurAsset","TotalLoanAdv","SundryCred","LiableForLeasedAsset","AccIncLeasedAsset","AccIntNotDue","TotalProvisions","MiscExpenditure","DefTaxAsset","AccumulatedLosses","TotalSundryDebitAmt","TotalSundryCreAmt","TotalSktTradeAmt","CashBalAmount","SecureLoanBank","UnSecLoanBank","UnSecureLnFromOthers","RevaluationReserve","CapitalReserve","StatutoryReserve","AnyOtherReserve","TotalProprietorFund","TotalRupeeLoans","TotalSecuredLoan","TotalUnsecureLoan","TotalLoanFunds","Sourcesoffunds","Netblock","TotalFixedAssets","GovtAndOtherSecuritiesQuoted","GovtAndOtherSecuritiesUnQuoted","EquityShares","PreferShares","Debenture","Totalinvestments","StoresConsumables","RawMaterials","StockinProcess","FinishedGoodsorTradedGoods","CashinHand","BalanceWithBank","TotalCurrentAssets","AdvRecoverable","Deposits","BalWithRevAuth","TotCurrAssetLoanAdv","TotCurrLiabilities","ITProvision","WTProvision","ELSuperAnnGratProvision","OthProvision","TotCurrLiabilitiesProvision","NetCurrAsset","TotMiscAdjust","TotalFundApply"
"2016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","648275","537633","1069505","299269","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
