"Year__c","PropCap","TotResrnSyrf","foreignCurLoan","FromOthers","DeferredTax","GrossBlock","Depreciation","CapWorkProgram","TotLongTermInvest","TotalTradeInvest","TotalInventries","SyndryDebtors","TotalCashOrBankBal","OtherCurAsset","TotalLoanAdv","SundryCred","LiableForLeasedAsset","AccIncLeasedAsset","AccIntNotDue","TotalProvisions","MiscExpenditure","DefTaxAsset","AccumulatedLosses","TotalSundryDebitAmt","TotalSundryCreAmt","TotalSktTradeAmt","CashBalAmount","SecureLoanBank","UnSecLoanBank","UnSecureLnFromOthers","RevaluationReserve","CapitalReserve","StatutoryReserve","AnyOtherReserve","TotalProprietorFund","TotalRupeeLoans","TotalSecuredLoan","TotalUnsecureLoan","TotalLoanFunds","Sourcesoffunds","Netblock","TotalFixedAssets","GovtAndOtherSecuritiesQuoted","GovtAndOtherSecuritiesUnQuoted","EquityShares","PreferShares","Debenture","Totalinvestments","StoresConsumables","RawMaterials","StockinProcess","FinishedGoodsorTradedGoods","CashinHand","BalanceWithBank","TotalCurrentAssets","AdvRecoverable","Deposits","BalWithRevAuth","TotCurrAssetLoanAdv","TotCurrLiabilities","ITProvision","WTProvision","ELSuperAnnGratProvision","OthProvision","TotCurrLiabilitiesProvision","NetCurrAsset","TotMiscAdjust","TotalFundApply"
"2017","4533363","0","0","0","0","2923992","0","0","0","0","778414","3215627","23202","0","0","144609","0","0","0","0","0","0","0","0","0","0","0","1668892","0","594371","0","0","0","0","4533363","1668892","1668892","594371","2263263","6796626","2923992","2923992","0","0","0","0","0","0","0","0","0","778414","23202","0","4017243","0","0","0","4017243","144609","0","0","0","0","144609","3872634","0","6796626"
"2016","3598260","0","0","0","0","2940238","10785","0","0","0","546263","1769046","25224","0","0","293348","0","0","0","0","0","0","0","0","0","0","0","952440","0","425938","0","0","0","0","3598260","952440","952440","425938","1378378","4976638","2929453","2929453","0","0","0","0","0","0","0","0","0","546263","25224","0","2340533","0","0","0","2340533","293348","0","0","0","0","293348","2047185","0","4976638"
"2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5299560","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","3032914","0","0","0","0","2962854","22608","0","0","7510","694066","1624554","37603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1399983","0","871082","0","0","0","0","3032914","1399983","1399983","871082","2271065","5303979","2940246","2940246","0","0","7510","0","0","7510","0","0","0","694066","37603","0","2356223","0","0","0","2356223","0","0","0","0","0","0","2356223","0","5303979"
